latitude,longitude,elevation,speed,course,hacc
46.06914,11.15028,432.014,4.101,132.369,24
46.06905,11.15043,445.39,0.489,0,6
46.06904,11.15041,444.393,1.172,0,6
46.06902,11.15043,444.131,2.276,0,6
46.06899,11.15044,443.046,2.751,0,6
46.06896,11.15044,441.908,3.259,0,6
46.06893,11.15044,441.065,3.986,176.882,6
46.06888,11.15044,440.216,5.07,177.723,6
46.06882,11.15043,438.973,5.524,176.679,6
46.06877,11.15044,438.618,5.65,171.851,8
46.0687,11.15047,440.062,6.087,159.492,4
46.06864,11.1505,439.916,6.248,159.437,4
46.06857,11.15054,444.124,6.092,163.954,4
46.06852,11.15056,443.942,5.704,169.388,4
46.06848,11.15056,442.886,5.223,167.017,4
46.06845,11.15056,441.084,4.144,167.461,4
46.06844,11.15056,440.026,3.295,177.256,4
46.06842,11.15056,438.847,3.207,174.459,4
46.06839,11.15056,437.384,3.686,176.644,3
46.06836,11.15056,437.524,4.174,178.164,4
46.06832,11.15056,436.085,4.197,178.81,4
46.06829,11.15056,434.995,3.558,183.319,4
46.06826,11.15056,433.781,3.18,181.951,4
46.06823,11.15056,432.945,3.259,179.693,4
46.0682,11.15055,432.077,3.837,179.934,4
46.06816,11.15055,431.458,4.568,183.817,4
46.06811,11.15055,431.001,5.257,184.973,4
46.06805,11.15054,430.622,5.864,184.704,4
46.06799,11.15054,430.314,6.283,185.761,6
46.06793,11.15053,430.129,6.559,186.021,6
46.06787,11.15052,430.061,6.555,188.069,6
46.06781,11.15051,430.001,6.633,187.29,6
46.06774,11.1505,429.892,6.62,185.147,6
46.06768,11.15049,429.734,6.795,182.667,6
46.06762,11.15049,429.516,6.987,182.116,6
46.06756,11.15049,429.307,7.19,181.115,4
46.06749,11.15049,429.186,7.312,180.434,4
46.06742,11.15049,429.093,7.398,180.31,4
46.06736,11.15048,429.063,7.338,181.353,4
46.06729,11.15049,429.031,7.224,180.657,4
46.06722,11.1505,429.026,7.331,180.796,4
46.06716,11.15051,428.957,7.564,178.573,4
46.06709,11.15052,428.831,7.764,177.006,4
46.06702,11.15053,428.645,7.886,176.3,4
46.06694,11.15053,428.426,7.838,180.11,4
46.06688,11.15054,428.137,7.564,184.051,4
46.06681,11.15052,427.83,7.163,184.043,4
46.06675,11.15051,427.5,6.643,184.044,4
46.0667,11.1505,427.226,6.481,182.206,4
46.06664,11.1505,426.96,6.529,180.775,4
46.06657,11.1505,426.794,7.488,177.699,4
46.06649,11.1505,426.618,8.301,179.978,4
46.06641,11.15049,426.42,8.889,183.278,4
46.06632,11.15048,426.233,9.214,180.296,6
46.06623,11.15048,426.052,9.897,191.583,6
46.06614,11.15045,425.886,10.276,193.945,6
46.06604,11.15042,425.718,10.23,186.789,6
46.06595,11.1504,425.565,10.098,179.579,6
46.06585,11.15039,425.421,10.248,178.273,6
46.06575,11.15038,425.219,10.076,175.95,6
46.06565,11.15038,425.046,10.288,175.789,6
46.06556,11.15038,424.923,10.233,176.666,6
46.06547,11.15037,424.899,9.794,177.387,6
46.06538,11.15037,425,9.513,176.164,6
46.0653,11.15037,425.168,9.245,176.874,6
46.06521,11.15037,425.355,9.326,182.073,6
46.06512,11.15035,425.596,9.171,187.171,6
46.06503,11.15035,425.875,9.328,186.949,6
46.06494,11.15035,425.981,9.621,186.73,6
46.06485,11.15033,426.087,10.067,189.574,6
46.06475,11.15031,426.295,10.433,188.79,6
46.06465,11.15031,426.587,10.62,187.607,4
46.06455,11.15029,426.82,10.544,187.642,4
46.06446,11.15027,427.176,10.265,187.681,4
46.06437,11.15025,427.533,9.754,187.736,4
46.06429,11.15024,427.565,9.362,187.761,4
46.06421,11.15023,427.568,8.83,187.549,4
46.06414,11.15022,427.672,8.014,190.234,4
46.06409,11.1502,427.795,6.939,189.996,4
46.06404,11.15018,427.92,6.196,193.433,4
46.064,11.15017,428.024,5.44,200.778,4
46.06396,11.15015,428.037,4.399,203.946,4
46.06395,11.15014,428.054,2.984,206.173,4
46.06395,11.15014,428.077,0,206.173,4
46.06395,11.15014,428.105,0,206.173,4
46.06393,11.15013,428.13,1.213,209.611,4
46.06391,11.15011,428.151,2.817,209.822,4
46.06388,11.15008,428.368,4.022,210.112,4
46.06384,11.15005,428.552,4.97,196.991,4
46.06379,11.15003,428.688,5.613,173.863,4
46.06373,11.15005,428.762,6.396,161.473,4
46.06367,11.15008,428.768,6.867,158.547,4
46.06361,11.15012,428.745,7.211,159.926,4
46.06354,11.15015,428.704,7.972,175.82,4
46.06346,11.15016,428.656,8.627,179.4,4
46.06337,11.15016,428.529,9.35,181.014,4
46.06328,11.15015,428.284,9.824,178.693,4
46.06319,11.15015,428.035,10.118,178.763,4
46.06309,11.15016,427.783,10.233,178.766,4
46.063,11.15017,427.562,10.219,178.765,4
46.06291,11.15017,427.343,10.334,177.557,4
46.06281,11.15018,427.125,10.412,175.177,4
46.06272,11.15018,426.899,10.782,171.793,4
46.06262,11.15022,426.741,11.362,168.147,4
46.06251,11.15025,426.564,11.626,165.428,4
46.06241,11.15029,426.35,11.676,165.476,4
46.06231,11.15033,426.122,11.531,164.586,4
46.06222,11.15038,425.873,11.341,163.63,4
46.06212,11.15043,425.615,11.222,164.662,4
46.06202,11.15045,425.462,11.1,163.739,4
46.06193,11.15049,425.336,10.902,166.471,4
46.06184,11.15053,425.173,10.715,167.088,4
46.06175,11.15055,424.952,10.594,174.202,4
46.06165,11.15055,424.626,10.667,176.913,4
46.06155,11.15055,424.309,11.008,180.059,4
46.06145,11.15054,423.997,11.363,181.209,4
46.06134,11.15053,423.7,11.893,181.514,4
46.06123,11.15052,423.419,12.367,181.515,4
46.06111,11.15052,423.207,12.836,183.014,4
46.06099,11.1505,423.016,13.169,182.305,4
46.06087,11.15049,422.715,13.41,182.378,4
46.06074,11.15049,422.533,13.746,181.876,4
46.06062,11.15048,422.342,13.96,181.707,4
46.06049,11.15049,422.095,14.192,181.896,4
46.06036,11.15049,421.806,14.176,182.403,4
46.06023,11.15048,421.511,14.197,182.218,4
46.0601,11.15046,421.242,14.375,182.651,4
46.05997,11.15045,420.983,14.567,183.07,4
46.05983,11.15043,420.757,14.768,182.596,4
46.0597,11.15042,420.571,14.847,182.467,4
46.05956,11.1504,420.399,14.879,182.552,4
46.05943,11.15039,420.241,14.949,182.889,4
46.05929,11.15039,420.19,15.135,183.602,4
46.05916,11.15039,420.008,15.22,186.047,6
46.05902,11.15038,419.741,15.158,189.349,6
46.05888,11.15035,419.42,15.191,193.616,6
46.05874,11.1503,419.252,15.288,198.646,6
46.05862,11.15022,419.006,15.339,202.271,6
46.05848,11.15014,418.774,15.459,202.343,6
46.05835,11.15006,418.519,15.593,202.377,6
46.05822,11.14998,418.284,15.791,202.841,6
46.05809,11.14988,418.174,15.944,203.267,6
46.05795,11.1498,418.14,16.028,203.663,6
46.05782,11.14972,418.061,15.926,203.595,6
46.05769,11.14963,417.953,15.898,203.518,6
46.05756,11.14955,417.815,15.939,203.377,4
46.05743,11.14947,417.648,16.015,202.497,4
46.05729,11.14939,417.502,16.003,202.191,6
46.05716,11.14931,417.332,15.915,200.555,6
46.05703,11.14925,417.139,15.761,197.847,6
46.0569,11.14919,416.927,15.521,195.467,6
46.05676,11.14914,416.706,15.415,192.999,4
46.05663,11.1491,416.502,15.091,189.871,4
46.0565,11.14908,416.301,14.72,187.178,4
46.05637,11.14906,416.221,14.591,185.235,4
46.05624,11.14906,416.124,14.617,185.935,6
46.0561,11.14904,416.072,14.891,185.344,4
46.05597,11.14903,416.008,15.081,186.321,4
46.05583,11.14901,415.848,15.151,185.834,4
46.05569,11.14897,415.445,15.183,186.163,4
46.05556,11.14894,415.002,15.291,186.258,4
46.05542,11.14892,414.516,15.419,185.668,4
46.05528,11.1489,414.08,15.543,185.669,4
46.05514,11.14887,413.692,15.694,186.214,4
46.055,11.14885,413.392,15.773,185.667,4
46.05486,11.14883,413.128,15.784,185.164,4
46.05471,11.14881,412.887,15.788,185.952,4
46.05457,11.14879,412.676,15.819,185.961,4
46.05443,11.14877,412.422,15.799,186.609,4
46.05429,11.14874,412.203,15.641,186.649,4
46.05415,11.14872,411.988,15.359,188.158,4
46.05402,11.14869,411.749,15.112,191.259,4
46.05389,11.14864,411.536,15.054,195.088,4
46.05376,11.14859,411.306,14.973,199.132,4
46.05364,11.14851,411.122,14.897,203.419,4
46.05351,11.14844,410.852,14.902,207.648,4
46.05339,11.14835,410.534,14.904,212.006,4
46.05328,11.14824,410.194,14.79,216.94,4
46.05318,11.14812,409.882,14.577,221.935,4
46.0531,11.14799,409.611,14.167,226.504,4
46.05302,11.14785,409.362,13.799,227.011,4
46.05294,11.14772,409.17,13.536,227.594,4
46.05286,11.14759,408.997,13.306,230.996,4
46.05279,11.14746,408.827,13.099,228.428,4
46.05271,11.14734,408.632,13.041,225.143,4
46.05263,11.14721,408.421,13.153,225.396,4
46.05255,11.14708,408.24,13.579,227.258,4
46.05246,11.14695,408.053,13.858,228.946,4
46.05238,11.14681,407.9,14.083,227.42,4
46.05229,11.14666,407.724,14.367,225.807,4
46.0522,11.14653,407.546,14.726,227,4
46.05211,11.14638,407.376,14.757,226.447,4
46.05202,11.14624,407.188,14.765,227.226,4
46.05193,11.1461,407.069,14.84,227.348,4
46.05185,11.14596,406.967,14.802,227.589,4
46.05175,11.14583,406.862,14.594,228.792,4
46.05167,11.14568,406.75,14.47,227.011,4
46.05158,11.14555,406.641,14.397,225.922,4
46.05149,11.14543,406.563,14.27,226.149,4
46.0514,11.14531,406.447,13.993,226.012,4
46.05131,11.14519,406.319,13.531,227.202,4
46.05122,11.14508,406.17,13.137,226.435,4
46.05114,11.14497,406.037,12.949,221.291,4
46.05105,11.14487,405.829,12.914,214.373,4
46.05095,11.14478,405.607,13,210.5,4
46.05085,11.1447,405.381,12.955,207.275,4
46.05075,11.14462,405.113,12.87,204.467,4
46.05064,11.14456,404.784,12.804,199.883,4
46.05053,11.14451,404.378,12.677,197.872,6
46.05042,11.14446,403.94,12.554,197.839,6
46.05032,11.14442,403.523,12.055,197.968,6
46.05023,11.14437,403.132,11.027,197.516,6
46.05015,11.14434,402.731,9.866,196.951,6
46.05008,11.14431,402.394,8.429,197.761,6
46.05003,11.14429,401.996,7.205,198.256,6
46.04998,11.14427,401.552,6.779,208.145,4
46.04992,11.14422,401.123,7.102,207.74,4
46.04986,11.14417,400.726,7.606,205.621,4
46.04979,11.14412,400.352,8.452,199.992,4
46.04971,11.14408,399.909,9.349,200.326,4
46.04963,11.14404,399.45,9.804,201.116,4
46.04954,11.14399,398.933,10.489,201.244,6
46.04944,11.14394,398.45,11.375,200.756,6
46.04933,11.14389,397.888,11.837,197.45,6
46.04922,11.14384,397.271,12.02,194.216,6
46.0491,11.1438,396.682,12.262,192.624,6
46.04899,11.14377,396.031,12.813,194.157,6
46.04887,11.14371,395.351,13.189,195.517,4
46.04876,11.14366,394.645,13.519,196.95,4
46.04864,11.1436,393.935,13.819,200.888,4
46.04852,11.14353,393.263,14.113,205.281,6
46.04841,11.14345,392.584,14.399,209.018,6
46.04829,11.14337,391.97,14.602,213.205,6
46.04819,11.14325,391.323,14.916,218.621,6
46.04808,11.14312,390.698,15.302,222.955,8
46.04799,11.14297,390.13,15.419,225.748,8
46.0479,11.14283,389.56,15.334,226.144,8
46.04782,11.14268,389.051,14.963,225.088,8
46.04773,11.14254,388.623,14.375,223.009,8
46.04764,11.14242,388.286,13.622,216.5,6
46.04755,11.14233,387.958,13.495,204.989,6
46.04743,11.14226,387.612,13.924,200.119,6
46.0473,11.14224,387.182,14.197,197.222,8
46.04717,11.14219,386.592,14.499,196.284,8
46.04704,11.14214,385.955,14.695,195.164,8
46.04691,11.14209,385.264,14.765,195.495,8
46.04678,11.14204,384.554,14.807,196.043,8
46.04665,11.14198,383.898,15.05,197.638,8
46.04652,11.14191,383.2,15.467,199.243,8
46.04639,11.14183,382.511,15.414,202.768,8
46.04627,11.14175,381.647,15.147,210.764,8
46.04616,11.14166,380.762,14.767,213.743,8
46.04604,11.14157,380.05,14.9,212.348,8
46.04592,11.14148,379.244,14.491,210.627,8
46.04581,11.1414,378.176,14.516,203.457,12
46.04569,11.14134,377.038,14.409,200.353,12
46.04557,11.14127,375.991,14.004,198.327,8
46.04546,11.14121,374.837,13.105,196.769,8
46.04537,11.14115,373.871,11.682,196.045,8
46.04529,11.14112,373.068,10.135,195.577,8
46.04522,11.14108,372.44,8.451,196.6,6
46.04517,11.14107,371.938,7.252,196.652,6
46.04512,11.14105,371.668,5.953,191.742,6
46.04508,11.14105,371.651,4.854,193.477,8
46.04504,11.14104,371.632,4.313,189.789,8
46.045,11.14103,371.638,4.026,193.445,8
46.04497,11.14101,371.648,3.708,191.146,8
46.04494,11.14101,371.661,4.086,190.331,8
46.0449,11.141,372.157,4.678,188.309,8
46.04485,11.14099,372.401,5.242,188.294,8
